;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR
2197;Bradford;Newcastle;2;2;D;2;1;H;22;14;8;7;17;23;10;8;0;1;0;0
2198;Chelsea;Middlesbrough;2;1;H;1;0;H;17;7;5;3;19;10;4;3;2;1;0;0
2199;Coventry;Derby;2;0;H;1;0;H;12;14;7;8;12;16;9;4;0;1;1;0
2200;Liverpool;Man United;2;0;H;2;0;H;15;9;6;3;8;8;6;4;1;1;1;0
2201;Man City;Aston Villa;1;3;A;1;2;A;12;8;6;7;18;13;9;2;6;4;1;0
2202;Sunderland;Leeds;0;2;A;0;1;A;14;7;8;4;17;10;8;4;2;2;0;1
2203;West Ham;Everton;0;2;A;0;1;A;17;10;6;7;16;16;8;2;3;2;1;0
2204;Charlton;Leicester;2;0;H;1;0;H;16;5;9;1;12;9;6;2;2;2;0;0
2205;Southampton;Ipswich;0;3;A;0;1;A;11;11;3;5;17;15;6;7;2;1;0;0
2206;Aston Villa;Leicester;2;1;H;1;1;D;9;6;5;2;11;12;10;3;2;2;0;0
2207;Aston Villa;West Ham;2;2;D;0;0;D;6;7;4;5;5;3;5;3;1;3;0;0
2208;Derby;Chelsea;0;4;A;0;0;D;3;10;2;7;13;7;1;9;1;1;0;0
2209;Leeds;Southampton;2;0;H;1;0;H;15;6;7;2;10;11;10;1;0;0;0;0
2210;Leicester;Coventry;1;3;A;1;2;A;9;15;4;5;9;19;4;9;3;2;0;0
2211;Everton;Man City;3;1;H;2;1;H;11;13;7;5;17;18;8;8;0;3;1;1
2212;Middlesbrough;Sunderland;0;0;D;0;0;D;12;12;6;4;22;22;3;2;5;3;1;0
2213;Ipswich;Liverpool;1;1;D;0;0;D;8;7;5;2;10;15;6;1;0;0;0;0
2214;Man United;Charlton;2;1;H;1;0;H;23;3;8;2;8;9;12;4;1;1;0;0
2215;Tottenham;Bradford;2;1;H;1;1;D;17;10;13;5;13;9;5;7;1;1;0;0
2216;Man City;Arsenal;0;4;A;0;4;A;7;15;2;8;10;8;7;3;2;0;0;0
2217;Bradford;Charlton;2;0;H;0;0;D;4;3;8;8;13;21;3;7;1;3;0;0
2218;Liverpool;Leeds;1;2;A;0;2;A;11;9;5;3;19;16;8;2;3;1;1;0
2219;Arsenal;Middlesbrough;0;3;A;0;2;A;17;6;8;2;13;11;9;0;1;1;0;0
2220;Aston Villa;Everton;2;1;H;1;1;D;8;5;5;3;13;14;5;3;0;3;0;0
2221;Chelsea;Southampton;1;0;H;1;0;H;14;9;8;5;11;19;7;6;3;3;0;0
2222;Ipswich;Newcastle;1;0;H;0;0;D;14;6;5;2;6;13;9;3;0;1;0;1
2223;Leicester;Man City;1;2;A;1;1;D;15;8;9;3;13;26;5;1;2;3;0;0
2224;Man United;Coventry;4;2;H;2;2;D;28;9;13;4;9;18;9;2;1;4;0;0
2225;Sunderland;Tottenham;2;3;A;2;0;H;13;8;4;6;12;15;3;3;1;2;0;0
2226;West Ham;Derby;3;1;H;3;0;H;18;6;10;3;10;18;3;5;0;2;0;0
2227;Coventry;Sunderland;1;0;H;1;0;H;14;6;9;3;15;21;6;3;3;0;0;0
2228;Derby;Leicester;2;0;H;1;0;H;10;7;6;4;17;16;5;6;0;0;0;0
2229;Everton;Liverpool;2;3;A;1;1;D;10;10;7;6;19;15;2;5;4;2;1;0
2230;Middlesbrough;Ipswich;1;2;A;1;0;H;4;12;1;5;8;8;5;4;0;0;0;0
2231;Newcastle;West Ham;2;1;H;1;0;H;20;13;14;6;19;9;7;5;0;0;0;0
2232;Charlton;Aston Villa;3;3;D;2;0;H;12;11;5;8;10;15;5;7;3;4;1;0
2233;Tottenham;Chelsea;0;3;A;0;1;A;5;16;1;10;14;11;2;5;2;2;1;0
2234;Arsenal;Everton;4;1;H;1;1;D;10;4;8;2;7;13;10;0;0;2;0;1
2235;Aston Villa;Southampton;0;0;D;0;0;D;9;3;2;3;10;15;4;5;1;2;0;0
2236;Bradford;Derby;2;0;H;1;0;H;15;12;9;3;14;13;3;8;0;2;0;1
2237;Chelsea;Charlton;0;1;A;0;1;A;9;4;1;2;12;14;10;3;3;0;0;0
2238;Ipswich;Coventry;2;0;H;1;0;H;13;6;5;2;22;23;2;3;1;4;0;0
2239;Leicester;Middlesbrough;0;3;A;0;1;A;15;15;4;7;13;11;12;5;3;1;0;0
2240;Man United;Man City;1;1;D;0;0;D;13;6;6;4;14;20;3;2;0;0;1;0
2241;Sunderland;Newcastle;1;1;D;0;0;D;16;9;10;5;17;22;4;8;5;4;0;0
2242;West Ham;Leeds;0;2;A;0;1;A;15;12;10;7;17;13;6;6;5;2;0;1
2243;Liverpool;Tottenham;3;1;H;1;1;D;14;7;8;5;10;13;6;4;1;1;0;0
2244;Coventry;Liverpool;0;2;A;0;0;D;11;13;4;6;15;11;7;7;3;1;0;0
2245;Derby;Arsenal;1;2;A;1;1;D;6;14;2;9;14;13;4;6;3;4;0;0
2246;Everton;Bradford;2;1;H;0;1;A;18;7;9;4;15;15;5;2;1;2;0;0
2247;Leeds;Chelsea;2;0;H;0;0;D;16;7;9;5;22;17;7;2;2;5;0;0
2248;Man City;West Ham;1;0;H;1;0;H;16;12;9;7;19;12;10;10;3;5;0;0
2249;Middlesbrough;Man United;0;2;A;0;1;A;18;9;3;5;13;21;4;6;2;3;0;0
2250;Newcastle;Leicester;1;0;H;0;0;D;20;4;6;3;15;14;12;0;1;1;0;0
2251;Southampton;Sunderland;0;1;A;0;0;D;11;6;5;3;15;14;11;2;2;1;0;0
2252;Tottenham;Aston Villa;0;0;D;0;0;D;7;7;3;4;13;13;5;6;1;0;0;0
2253;Charlton;Ipswich;2;1;H;1;1;D;10;17;7;6;17;11;2;13;0;1;0;0
2254;Bradford;Liverpool;0;2;A;0;0;D;15;11;4;10;11;13;7;0;0;2;0;0
2255;Newcastle;Southampton;1;1;D;1;0;H;7;11;5;3;15;17;4;2;2;1;0;0
2256;Arsenal;Leeds;2;1;H;1;0;H;7;4;4;3;21;18;11;2;4;3;0;0
2257;Aston Villa;Coventry;3;2;H;0;2;A;6;6;4;3;12;23;6;2;2;5;0;0
2258;Bradford;Middlesbrough;1;1;D;1;0;H;10;14;7;9;25;21;6;6;4;2;0;0
2259;Chelsea;Everton;2;1;H;2;1;H;13;9;5;3;19;22;8;6;1;1;0;0
2260;Leicester;Tottenham;4;2;H;1;0;H;19;9;9;4;11;14;6;2;3;2;0;0
2261;Liverpool;Newcastle;3;0;H;1;0;H;12;6;5;3;11;10;2;3;0;2;0;0
2262;Man United;Derby;0;1;A;0;1;A;11;10;6;5;13;11;13;1;1;0;0;0
2263;Sunderland;Charlton;3;2;H;2;1;H;17;17;11;7;17;7;8;5;1;0;0;0
2264;West Ham;Southampton;3;0;H;0;0;D;16;12;12;3;18;18;5;1;2;2;0;0
2265;Ipswich;Man City;2;1;H;0;0;D;15;11;7;7;8;19;9;2;0;0;0;0
2266;Liverpool;Chelsea;2;2;D;1;1;D;16;14;8;7;14;21;6;6;1;4;0;0
2267;Leeds;Bradford;6;1;H;5;1;H;18;13;9;7;20;13;9;7;1;0;0;0
2268;Southampton;Man United;2;1;H;2;0;H;14;9;3;6;13;18;4;4;1;1;0;0
2269;Newcastle;Arsenal;0;0;D;0;0;D;12;8;2;1;14;10;4;8;1;0;0;0
2270;Charlton;Liverpool;0;4;A;0;0;D;12;16;10;14;7;13;10;10;1;1;0;0
2271;Coventry;Bradford;0;0;D;0;0;D;15;10;7;3;15;13;9;3;1;1;0;0
2272;Derby;Ipswich;1;1;D;1;0;H;7;13;2;6;14;15;3;11;1;1;0;0
2273;Everton;Sunderland;2;2;D;1;1;D;18;11;8;4;12;13;5;6;5;3;0;1
2274;Leeds;Leicester;3;1;H;1;1;D;24;8;11;5;14;17;12;5;3;4;0;0
2275;Man City;Chelsea;1;2;A;1;1;D;3;9;1;3;22;18;8;7;4;2;0;0
2276;Middlesbrough;West Ham;2;1;H;2;1;H;19;11;7;5;13;15;5;6;0;0;0;0
2277;Newcastle;Aston Villa;3;0;H;2;0;H;9;5;5;1;10;14;5;1;0;5;1;1
2278;Southampton;Arsenal;3;2;H;0;1;A;11;8;7;5;17;10;7;5;1;2;0;0
2279;Tottenham;Man United;3;1;H;1;1;D;9;15;3;6;13;15;3;6;0;2;0;0
2280;Charlton;Man City;4;0;H;2;0;H;17;8;14;4;13;12;6;6;1;2;0;0
2281;Chelsea;West Ham;4;2;H;1;0;H;17;12;10;5;19;14;7;7;1;2;0;0
2282;Coventry;Middlesbrough;1;3;A;1;1;D;6;16;3;9;15;21;8;4;5;3;1;0
2283;Derby;Southampton;2;2;D;1;2;A;6;13;4;6;11;13;5;8;1;1;0;0
2284;Leeds;Everton;2;0;H;2;0;H;17;12;8;6;21;20;6;4;1;3;0;0
2285;Leicester;Aston Villa;0;0;D;0;0;D;5;5;4;3;12;12;5;4;2;3;0;0
2286;Liverpool;Bradford;1;0;H;0;0;D;16;3;10;2;8;8;6;1;1;1;0;0
2287;Sunderland;Arsenal;1;0;H;0;0;D;8;14;2;7;10;21;2;9;3;1;0;1
2288;Tottenham;Ipswich;3;1;H;2;1;H;20;15;6;5;14;13;3;4;0;0;0;0
2289;Man United;Newcastle;2;0;H;1;0;H;19;9;9;6;7;13;7;1;0;1;0;0
2290;Arsenal;Liverpool;2;0;H;1;0;H;17;7;12;4;25;20;10;11;2;4;1;2
2291;Bradford;Chelsea;2;0;H;1;0;H;12;14;3;6;14;16;6;4;0;1;0;0
2292;Ipswich;Man United;1;1;D;1;1;D;13;15;8;6;10;7;4;6;1;4;0;0
2293;Middlesbrough;Tottenham;1;1;D;0;1;A;12;11;6;4;9;18;5;5;2;1;0;0
2294;Everton;Charlton;3;0;H;0;0;D;13;8;8;4;17;15;3;5;2;1;0;1
2295;Man City;Sunderland;4;2;H;2;0;H;15;9;10;4;24;14;7;3;3;3;0;0
2296;Newcastle;Derby;3;2;H;1;1;D;9;10;4;5;23;11;9;6;0;3;1;0
2297;Southampton;Coventry;1;2;A;0;1;A;12;7;4;5;18;20;6;5;5;3;0;0
2298;West Ham;Leicester;0;1;A;0;0;D;17;4;12;2;16;14;11;5;3;3;1;0
2299;Arsenal;Charlton;5;3;H;1;2;A;18;7;9;4;12;15;8;3;0;1;0;0
2300;Bradford;Leicester;0;0;D;0;0;D;8;13;4;8;11;12;6;8;1;2;0;0
2301;Everton;Derby;2;2;D;2;0;H;12;7;9;4;11;9;11;2;2;3;0;0
2302;Ipswich;Sunderland;1;0;H;0;0;D;14;9;5;3;10;12;7;6;1;1;0;0
2303;Man City;Coventry;1;2;A;0;2;A;14;9;5;8;7;12;5;5;2;3;0;0
2304;Middlesbrough;Leeds;1;2;A;0;2;A;15;16;8;11;12;20;4;8;2;0;0;0
2305;Newcastle;Tottenham;2;0;H;1;0;H;15;10;6;2;13;10;4;2;0;0;0;0
2306;Southampton;Liverpool;3;3;D;0;1;A;14;9;7;4;7;6;7;1;0;0;0;0
2307;West Ham;Man United;2;2;D;0;1;A;17;8;8;5;12;9;7;5;1;0;0;0
2308;Aston Villa;Chelsea;1;1;D;1;1;D;12;11;9;7;13;12;7;10;0;1;0;0
2309;Leeds;Man City;1;2;A;0;2;A;6;8;1;3;18;24;9;4;2;2;0;0
2310;Man United;Bradford;6;0;H;2;0;H;21;6;12;4;12;10;5;1;0;1;0;0
2311;Sunderland;West Ham;1;1;D;1;1;D;17;16;7;9;19;14;4;11;2;3;0;0
2312;Tottenham;Everton;3;2;H;1;2;A;11;11;7;6;11;10;7;5;1;2;0;0
2313;Charlton;Southampton;1;1;D;0;0;D;8;11;6;3;14;16;10;14;3;3;1;0
2314;Chelsea;Arsenal;2;2;D;1;0;H;12;13;5;5;16;22;7;6;3;1;0;0
2315;Coventry;Newcastle;0;2;A;0;1;A;13;13;3;6;11;18;6;8;1;1;0;0
2316;Derby;Middlesbrough;3;3;D;0;1;A;9;5;5;4;8;10;11;5;3;2;0;0
2317;Leicester;Ipswich;2;1;H;0;0;D;12;7;6;3;12;13;6;2;1;1;0;0
2318;Liverpool;Aston Villa;3;1;H;3;0;H;11;9;7;4;13;7;8;7;0;2;0;0
2319;Bradford;Arsenal;1;1;D;1;0;H;9;18;5;11;17;13;4;10;0;2;0;0
2320;Coventry;Leeds;0;0;D;0;0;D;9;11;1;5;15;14;6;6;2;2;0;0
2321;Ipswich;Aston Villa;1;2;A;0;1;A;15;5;5;2;9;13;5;3;1;3;0;0
2322;Leicester;Southampton;1;0;H;0;0;D;17;9;6;5;6;9;10;6;0;0;0;0
2323;Liverpool;Man City;3;2;H;1;0;H;14;9;8;7;17;17;9;4;3;4;0;0
2324;Man United;Sunderland;3;0;H;1;0;H;15;5;7;1;18;14;4;4;1;3;0;0
2325;Middlesbrough;Everton;1;2;A;1;0;H;9;12;5;9;16;5;7;7;3;0;0;0
2326;Newcastle;Chelsea;0;0;D;0;0;D;10;10;4;3;17;21;5;6;0;3;0;0
2327;Derby;Charlton;2;2;D;2;0;H;12;10;6;6;17;12;4;11;3;1;0;0
2328;Tottenham;West Ham;1;0;H;0;0;D;15;11;7;5;14;13;11;3;1;2;0;0
2329;Arsenal;Coventry;2;1;H;1;0;H;18;6;13;2;5;13;8;4;1;2;0;0
2330;Aston Villa;Bradford;2;0;H;1;0;H;12;8;7;4;8;12;5;6;0;2;0;0
2331;Charlton;Tottenham;1;0;H;1;0;H;9;10;5;5;8;10;7;5;0;0;0;0
2332;Everton;Man United;1;3;A;0;3;A;6;17;4;9;10;11;6;5;4;1;0;0
2333;Leeds;Ipswich;1;2;A;1;1;D;11;12;6;7;12;19;6;3;1;3;0;0
2334;Southampton;Newcastle;2;0;H;0;0;D;13;10;9;7;14;14;4;8;0;0;0;0
2335;Sunderland;Derby;2;1;H;1;0;H;15;10;8;5;16;28;4;5;2;3;0;0
2336;Chelsea;Leicester;0;2;A;0;1;A;16;7;10;5;16;17;15;3;3;1;0;0
2337;Man City;Middlesbrough;1;1;D;0;0;D;11;4;4;2;15;11;9;3;2;5;0;0
2338;West Ham;Liverpool;1;1;D;0;1;A;15;7;4;2;5;13;9;0;0;2;0;0
2339;Bradford;Southampton;0;1;A;0;1;A;14;6;6;4;14;18;7;5;3;1;0;0
2340;Coventry;West Ham;0;3;A;0;2;A;9;12;2;10;12;11;5;6;0;1;0;0
2341;Derby;Leeds;1;1;D;0;1;A;13;16;7;6;17;15;7;4;2;2;1;0
2342;Ipswich;Arsenal;1;1;D;0;0;D;17;10;6;4;8;13;4;7;1;2;0;0
2343;Liverpool;Sunderland;1;1;D;1;1;D;11;8;6;3;14;18;12;3;2;2;0;0
2344;Man United;Chelsea;3;3;D;3;2;H;11;13;5;5;15;19;8;4;3;2;0;0
2345;Middlesbrough;Aston Villa;1;1;D;0;0;D;12;15;5;7;7;14;5;5;3;0;0;0
2346;Newcastle;Charlton;0;1;A;0;1;A;12;4;5;2;14;10;4;7;1;2;0;0
2347;Tottenham;Man City;0;0;D;0;0;D;18;7;5;2;10;14;5;4;0;2;0;0
2348;Leicester;Everton;1;1;D;1;0;H;10;9;4;3;14;13;9;3;3;1;0;0
2349;Aston Villa;Derby;4;1;H;2;0;H;12;11;7;6;0;1;6;6;1;1;0;0
2350;Charlton;Coventry;2;2;D;0;1;A;12;10;8;6;8;16;6;6;1;2;0;0
2351;Everton;Ipswich;0;3;A;0;1;A;7;9;3;7;6;5;4;1;1;0;0;0
2352;Leeds;Tottenham;4;3;H;0;1;A;14;10;7;5;11;20;6;4;0;2;0;0
2353;Man City;Newcastle;0;1;A;0;0;D;9;15;7;9;16;12;10;8;0;1;0;0
2354;Southampton;Middlesbrough;1;3;A;0;2;A;16;7;8;5;6;22;6;6;2;2;0;0
2355;West Ham;Bradford;1;1;D;1;0;H;14;9;6;6;14;10;7;2;3;2;0;0
2356;Arsenal;Man United;1;0;H;1;0;H;7;13;5;4;18;17;3;11;2;3;0;0
2357;Chelsea;Liverpool;3;0;H;2;0;H;11;10;5;2;14;14;3;1;1;1;0;0
2358;Sunderland;Leicester;0;0;D;0;0;D;11;8;5;2;12;8;6;2;3;1;0;0
2359;Arsenal;Aston Villa;1;0;H;0;0;D;16;8;10;3;12;20;7;4;1;4;0;1
2360;Coventry;Tottenham;2;1;H;2;0;H;0;4;5;5;12;16;3;5;0;4;1;0
2361;Everton;Southampton;1;1;D;0;0;D;7;7;3;4;16;13;9;8;1;3;0;0
2362;Ipswich;West Ham;1;1;D;1;0;H;11;7;8;2;10;11;8;5;0;4;0;0
2363;Leeds;Charlton;3;1;H;1;0;H;22;10;10;8;7;9;8;5;0;1;0;0
2364;Leicester;Man United;0;3;A;0;1;A;10;16;4;5;8;11;6;7;0;0;0;0
2365;Man City;Bradford;2;0;H;2;0;H;13;10;10;2;10;16;5;6;0;2;0;0
2366;Sunderland;Chelsea;1;0;H;0;0;D;16;11;11;2;12;18;5;0;0;1;1;1
2367;Derby;Liverpool;0;4;A;0;1;A;6;16;0;11;18;13;4;3;1;1;0;0
2368;Middlesbrough;Newcastle;1;3;A;0;1;A;8;15;2;8;8;13;6;6;2;1;0;0
2369;Bradford;Ipswich;0;2;A;0;1;A;7;12;3;3;15;14;9;1;1;0;0;0
2370;Charlton;Middlesbrough;1;0;H;0;0;D;5;8;2;6;11;19;5;6;2;2;0;0
2371;Chelsea;Coventry;6;1;H;2;0;H;33;3;19;3;6;8;10;0;0;1;0;1
2372;Liverpool;Leicester;1;0;H;0;0;D;24;8;11;3;8;10;10;9;1;2;0;0
2373;Man United;Leeds;3;0;H;1;0;H;26;5;14;0;9;18;12;4;0;2;0;0
2374;Newcastle;Everton;0;1;A;0;0;D;11;9;4;4;9;12;5;4;1;3;0;0
2375;Tottenham;Derby;3;1;H;2;1;H;18;8;8;7;9;16;7;4;1;2;0;0
2376;West Ham;Arsenal;1;2;A;0;2;A;11;13;3;5;15;11;5;4;1;0;0;0
2377;Aston Villa;Sunderland;0;0;D;0;0;D;17;7;4;3;11;17;7;3;1;3;0;0
2378;Southampton;Man City;0;2;A;0;1;A;19;11;6;4;10;15;9;3;1;2;0;0
2379;Arsenal;Man City;5;0;H;1;0;H;22;6;14;2;6;13;10;4;0;3;0;1
2380;Aston Villa;Charlton;2;1;H;2;0;H;12;7;7;4;13;11;9;6;3;2;0;0
2381;Chelsea;Tottenham;3;0;H;2;0;H;9;6;7;3;12;14;2;3;3;3;0;0
2382;Ipswich;Middlesbrough;2;1;H;2;0;H;19;7;11;3;8;17;6;1;0;2;0;0
2383;Leicester;Derby;2;1;H;1;1;D;9;7;5;2;9;18;7;3;0;3;0;0
2384;Man United;Southampton;5;0;H;2;0;H;16;12;8;5;5;9;7;7;0;0;0;0
2385;Sunderland;Coventry;1;0;H;0;0;D;11;10;7;4;17;10;1;3;2;2;0;0
2386;West Ham;Newcastle;1;0;H;0;0;D;11;12;4;5;15;10;3;8;3;2;0;0
2387;Bradford;Leeds;1;1;D;1;0;H;11;12;6;9;15;15;5;9;3;4;0;0
2388;Liverpool;Everton;3;1;H;1;1;D;10;9;8;7;10;10;9;6;0;1;0;1
2389;Charlton;Bradford;2;0;H;2;0;H;11;12;7;8;10;20;3;6;0;1;0;1
2390;Coventry;Man United;1;2;A;0;2;A;4;11;2;6;17;8;3;9;1;1;0;0
2391;Leeds;Liverpool;4;3;H;1;2;A;10;14;7;8;18;18;7;7;1;4;0;0
2392;Man City;Leicester;0;1;A;0;0;D;14;3;3;2;12;14;9;4;1;2;0;0
2393;Middlesbrough;Arsenal;0;1;A;0;1;A;4;11;3;8;10;11;5;8;1;1;1;0
2394;Newcastle;Ipswich;2;1;H;1;1;D;11;8;6;5;13;7;7;4;1;0;0;0
2395;Southampton;Chelsea;3;2;H;2;0;H;10;9;4;4;16;11;7;7;4;2;0;0
2396;Tottenham;Sunderland;2;1;H;1;0;H;11;12;6;3;18;9;8;7;1;0;1;0
2397;Everton;Aston Villa;0;1;A;0;0;D;14;4;6;1;17;23;6;2;3;2;0;0
2398;Derby;West Ham;0;0;D;0;0;D;14;6;2;6;14;18;6;1;1;1;0;0
2399;Arsenal;Derby;0;0;D;0;0;D;15;9;9;2;12;13;10;0;0;2;0;0
2400;Aston Villa;Tottenham;2;0;H;1;0;H;11;3;6;2;15;13;10;1;0;3;0;0
2401;Bradford;Everton;0;1;A;0;0;D;11;9;6;4;8;18;3;3;1;2;0;0
2402;Ipswich;Charlton;2;0;H;0;0;D;30;7;13;4;8;12;13;3;0;2;0;0
2403;Leicester;Newcastle;1;1;D;0;0;D;8;7;4;1;7;8;0;3;1;1;0;0
2404;Man United;Middlesbrough;2;1;H;0;1;A;18;5;11;1;5;10;10;0;0;0;0;0
2405;Sunderland;Southampton;2;2;D;1;1;D;11;10;5;5;13;21;7;4;1;1;0;0
2406;West Ham;Man City;4;1;H;0;1;A;22;10;11;5;7;7;7;5;1;1;0;0
2407;Chelsea;Leeds;1;1;D;0;0;D;12;11;7;3;19;24;3;2;4;4;0;0
2408;Liverpool;Coventry;4;1;H;1;0;H;19;10;13;5;10;12;7;1;1;0;0;0
2409;Charlton;Chelsea;2;0;H;1;0;H;10;13;6;3;18;22;4;5;2;3;0;0
2410;Derby;Bradford;2;0;H;0;0;D;7;7;3;4;10;18;2;4;3;1;0;0
2411;Everton;Arsenal;2;0;H;0;0;D;4;4;2;2;20;12;3;5;3;1;0;0
2412;Leeds;West Ham;0;1;A;0;1;A;15;4;6;3;14;19;2;2;1;1;0;0
2413;Man City;Man United;0;1;A;0;1;A;10;8;4;4;13;8;10;11;3;1;0;0
2414;Middlesbrough;Leicester;0;3;A;0;2;A;11;9;4;7;8;12;6;2;3;1;0;0
2415;Newcastle;Sunderland;1;2;A;1;0;H;19;9;9;6;17;26;1;4;1;3;0;0
2416;Southampton;Aston Villa;2;0;H;2;0;H;7;9;3;3;10;10;3;3;0;0;0;0
2417;Tottenham;Liverpool;2;1;H;2;1;H;6;9;4;4;11;13;6;5;1;2;0;0
2418;Coventry;Ipswich;0;1;A;0;0;D;12;10;5;4;10;12;5;5;1;1;0;0
2419;Charlton;Sunderland;0;1;A;0;0;D;10;8;2;3;16;16;7;8;0;1;0;0
2420;Coventry;Aston Villa;1;1;D;0;1;A;10;7;2;4;9;19;6;1;1;2;0;0
2421;Derby;Man United;0;3;A;0;0;D;1;12;0;7;12;12;3;9;2;1;0;0
2422;Everton;Chelsea;2;1;H;0;1;A;11;10;5;6;11;18;1;4;0;3;0;1
2423;Man City;Ipswich;2;3;A;0;2;A;9;11;4;4;8;5;6;5;0;2;0;0
2424;Middlesbrough;Bradford;2;2;D;0;2;A;14;9;9;5;17;18;6;4;0;2;1;0
2425;Southampton;West Ham;2;3;A;1;2;A;10;14;5;8;12;10;6;10;1;2;0;0
2426;Tottenham;Leicester;3;0;H;2;0;H;15;11;7;5;21;15;5;8;1;3;0;1
2427;Leeds;Arsenal;1;0;H;0;0;D;12;9;6;3;19;22;8;4;1;7;0;0
2428;Newcastle;Liverpool;2;1;H;1;0;H;9;13;6;9;17;15;5;11;3;2;0;0
2429;Arsenal;Southampton;1;0;H;0;0;D;24;7;12;5;14;15;16;8;0;2;0;0
2430;Aston Villa;Newcastle;1;1;D;1;0;H;8;9;4;5;11;12;8;2;2;1;0;0
2431;Bradford;Coventry;2;1;H;0;0;D;10;13;6;7;11;12;9;8;3;2;0;0
2432;Ipswich;Derby;0;1;A;0;1;A;11;3;5;3;13;13;6;1;1;1;0;0
2433;Leicester;Leeds;3;1;H;3;0;H;8;12;5;4;10;7;0;6;1;2;0;1
2434;Liverpool;Charlton;3;0;H;1;0;H;13;7;3;2;10;9;6;5;1;1;0;0
2435;Man United;Tottenham;2;0;H;1;0;H;16;5;8;3;7;8;7;5;2;1;0;0
2436;West Ham;Middlesbrough;1;0;H;1;0;H;14;5;6;3;17;19;7;5;1;4;0;1
2437;Chelsea;Man City;2;1;H;2;0;H;9;11;7;5;9;12;7;10;2;0;0;0
2438;Sunderland;Everton;2;0;H;1;0;H;24;7;11;2;16;23;8;4;0;3;0;0
2439;Arsenal;Newcastle;5;0;H;2;0;H;15;3;10;1;10;11;5;2;0;3;0;0
2440;Bradford;Tottenham;3;3;D;1;2;A;13;6;6;4;6;16;7;2;2;0;0;0
2441;Charlton;Man United;3;3;D;1;2;A;15;15;8;8;6;10;9;6;0;1;0;0
2442;Chelsea;Derby;4;1;H;3;0;H;19;5;10;3;8;14;3;6;0;0;0;0
2443;Man City;Everton;5;0;H;3;0;H;13;14;9;4;12;12;5;13;0;1;0;0
2444;Southampton;Leeds;1;0;H;1;0;H;12;13;3;5;13;15;2;10;3;4;1;0
2445;Sunderland;Middlesbrough;1;0;H;0;0;D;8;8;5;5;22;21;5;3;1;3;0;0
2446;West Ham;Aston Villa;1;1;D;1;1;D;13;15;5;4;14;15;4;4;1;3;0;0
2447;Coventry;Leicester;1;0;H;1;0;H;12;6;5;1;11;15;8;10;0;1;0;0
2448;Liverpool;Ipswich;0;1;A;0;1;A;14;11;5;6;12;14;8;5;1;3;0;0
2449;Aston Villa;Man City;2;2;D;0;0;D;10;9;5;4;8;16;5;4;2;1;1;0
2450;Derby;Coventry;1;0;H;1;0;H;4;14;3;5;17;10;3;5;1;3;0;0
2451;Everton;West Ham;1;1;D;0;0;D;15;9;5;4;10;7;9;7;1;2;0;0
2452;Ipswich;Southampton;3;1;H;0;1;A;15;13;7;4;11;12;6;1;1;2;0;0
2453;Leeds;Sunderland;2;0;H;1;0;H;17;17;8;6;16;20;8;5;3;4;0;0
2454;Leicester;Charlton;3;1;H;1;1;D;9;12;5;8;11;16;5;5;1;2;0;0
2455;Middlesbrough;Chelsea;1;0;H;0;0;D;7;9;4;3;14;16;3;5;0;2;0;0
2456;Newcastle;Bradford;2;1;H;1;0;H;17;7;6;3;16;17;4;3;0;2;0;0
2457;Man United;Liverpool;0;1;A;0;1;A;6;9;4;4;10;11;9;2;1;0;1;0
2458;Tottenham;Arsenal;1;1;D;1;0;H;8;17;4;10;20;14;3;7;2;1;0;0
2459;Coventry;Southampton;1;1;D;1;0;H;12;10;5;2;12;13;8;6;1;1;0;0
2460;Charlton;Everton;1;0;H;1;0;H;10;10;7;4;15;21;13;6;1;4;0;0
2461;Chelsea;Bradford;3;0;H;1;0;H;17;7;8;1;8;12;5;4;0;1;0;0
2462;Derby;Newcastle;2;0;H;1;0;H;8;8;5;4;17;16;2;3;1;2;0;0
2463;Leeds;Aston Villa;1;2;A;0;1;A;15;8;5;5;18;18;10;2;1;4;0;0
2464;Leicester;West Ham;2;1;H;1;1;D;11;11;6;4;7;5;6;5;1;0;0;0
2465;Liverpool;Arsenal;4;0;H;1;0;H;12;12;6;6;18;14;6;3;2;0;0;0
2466;Man United;Ipswich;2;0;H;2;0;H;20;5;4;3;7;8;11;3;0;1;0;0
2468;Tottenham;Middlesbrough;0;0;D;0;0;D;16;5;8;0;22;13;8;4;2;3;0;0
2470;Aston Villa;Man United;0;1;A;0;0;D;6;14;3;3;15;16;2;4;1;2;0;0
2471;Bradford;Sunderland;1;4;A;0;1;A;11;16;3;11;17;17;9;8;2;0;0;0
2472;Everton;Coventry;1;2;A;0;0;D;17;10;9;5;14;16;5;2;2;1;0;0
2473;Ipswich;Chelsea;2;2;D;1;2;A;19;7;13;4;5;9;8;2;0;4;0;0
2474;Man City;Derby;0;0;D;0;0;D;15;14;7;3;15;14;7;7;2;2;0;0
2479;Arsenal;Sunderland;2;2;D;2;0;H;17;14;9;7;14;18;11;1;0;3;0;0
2481;Man City;Charlton;1;4;A;0;2;A;8;13;1;8;11;14;7;4;1;2;0;0
2482;Middlesbrough;Coventry;1;1;D;0;1;A;14;9;6;3;9;16;4;3;1;3;0;0
